Maneuver,Description/ Location,Maneuver Time (UTC SCET),Burn Type,Spacecraft Mass before maneuver(kg),Recon Delta V (m/s)
TCM-02,V1-60d,25/02/1998 20:00,RCS,5.57E+03,0.1788
TCM-05,DSM,03/12/1998 06:00,MEA,5.57E+03,450.2368
TCM-06,V2-140d,04/02/1999 20:00,MEA,4.79E+03,11.5516
TCM-07,V2-37d,18/05/1999 17:00,RCS,4.77E+03,0.2249
TCM-09,V2+12d,06/07/1999 17:00,MEA,4.77E+03,43.4996
TCM-10,E-29d,19/07/1999 16:00,MEA,4.70E+03,5.1309
TCM-11,E-15d,02/08/1999 21:30,MEA,4.69E+03,36.2876
TCM-12,E-6d,11/08/1999 15:30,MEA,4.63E+03,12.2471
TCM-13,E+14d,31/08/1999 16:00,MEA,4.61E+03,6.6835
TCM-14,J-199d,14/06/2000 17:00,MEA,4.60E+03,0.5386
TCM-17,J+60d,28/02/2001 17:29,MEA,4.60E+03,0.5286
TCM-18,S-819d,03/04/2002 18:00,MEA,4.59E+03,0.8968
TCM-19,S-426d,01/05/2003 20:00,MEA,4.59E+03,1.5965
TCM-19a,S-294d,10/09/2003 20:00,RCS,4.59E+03,0.123
TCM-19b,S-273d,02/10/2003 04:00,MEA,4.59E+03,2.0217
