Maneuver,ET,DeltaV_X_km_s,DeltaV_Y_km_s,DeltaV_Z_km_s,DeltaV_Magnitude_m_s,SPK_Time_Before_ET,SPK_Time_After_ET,Source
TCM-02,-58291136.81467085,0.0001737007978050057,-4.233728778259434e-05,-2.2420760732663597e-06,0.1788,-58291196.81467085,-58291076.81467085,SPK_Reconstructed_Trajectory
TCM-05,-34063136.81686678,0.44884051667582703,0.0010549563402545332,-0.03541544481630625,450.2368,-34063196.81686678,-34063076.81686678,SPK_Reconstructed_Trajectory
TCM-06,-28569535.81511891,0.006494025594838819,-0.009419123004925312,0.0015959999848575005,11.5516,-28569595.81511891,-28569475.81511891,SPK_Reconstructed_Trajectory
TCM-07,-19681135.814802337,0.0002242595934738528,1.2769245641884574e-05,-1.1162038374754721e-05,0.2249,-19681195.814802337,-19681075.814802337,SPK_Reconstructed_Trajectory
TCM-09,-15447535.816037223,0.0027550403997284026,0.017961624972048364,0.039522208704971855,43.4996,-15447595.816037223,-15447475.816037223,SPK_Reconstructed_Trajectory
TCM-10,-14327935.816396594,-0.00010498262708803519,0.0009502808974016204,0.005041039542995399,5.1309,-14327995.816396594,-14327875.816396594,SPK_Reconstructed_Trajectory
TCM-11,-13098535.816769065,0.011659169050221567,0.03421226807335717,-0.0032209321779728415,36.2876,-13098595.816769065,-13098475.816769065,SPK_Reconstructed_Trajectory
TCM-12,-12342535.816977618,-0.00025866152383545866,0.0034975825219323944,0.011734200830408527,12.2471,-12342595.816977618,-12342475.816977618,SPK_Reconstructed_Trajectory
TCM-13,-10612735.81736825,0.0007239395484530842,0.006641424452374624,0.00019121983052491047,6.6835,-10612795.81736825,-10612675.81736825,SPK_Reconstructed_Trajectory
TCM-14,14274064.18454828,0.0003488364970274023,0.0002359309803279134,0.0003357672272023594,0.5386,14274004.18454828,14274124.18454828,SPK_Reconstructed_Trajectory
TCM-17,36653404.185380735,-4.9499755378449307e-05,-0.00042488767507968897,-0.00031054500122019394,0.5286,36653344.185380735,36653464.185380735,SPK_Reconstructed_Trajectory
TCM-18,71128864.185657,-0.0004182590060390312,0.00016290752525141225,0.0007763831412928171,0.8968,71128804.185657,71128924.185657,SPK_Reconstructed_Trajectory
TCM-19,105091264.18547373,0.001021413427963811,0.0012218672040332952,0.00011210439279115906,1.5965,105091204.18547373,105091324.18547373,SPK_Reconstructed_Trajectory
TCM-19a,116496064.1824914,-3.6008911920383e-05,0.00011759054247499074,-2.1960379658597725e-06,0.123,116496004.1824914,116496124.1824914,SPK_Reconstructed_Trajectory
TCM-19b,118339264.18234606,0.001754300483593778,0.0009581662774685943,-0.00030268479972508276,2.0217,118339204.18234606,118339324.18234606,SPK_Reconstructed_Trajectory
